"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.177472082E0,-1.400625038E1,-4.440000153E1,-7.781250477E0,4.720257455E1
2.187472082E0,-1.423125076E1,-4.445625305E1,-7.987500191E0,4.735701736E1
2.197472082E0,-1.445625019E1,-4.425000000E1,-8.306250572E0,4.728677900E1
2.207472082E0,-1.441875076E1,-4.404375076E1,-8.287500381E0,4.707902949E1
2.217472082E0,-1.451250076E1,-4.400625229E1,-8.756250381E0,4.715755337E1
2.227472082E0,-1.438125038E1,-4.374375153E1,-9.300000191E0,4.697686839E1
2.237472082E0,-1.434375095E1,-4.385625076E1,-9.187500000E0,4.704810388E1
2.247472082E0,-1.421250057E1,-4.389375305E1,-9.431250572E0,4.709145588E1
2.257472082E0,-1.415625095E1,-4.385625076E1,-9.675000191E0,4.708901996E1
2.267472082E0,-1.411875057E1,-4.372500229E1,-9.768750191E0,4.697492334E1
2.277472082E0,-1.406250095E1,-4.387500000E1,-9.675000191E0,4.707839405E1
2.287472082E0,-1.402500057E1,-4.387500000E1,-9.750000000E0,4.708268011E1
2.297472082E0,-1.398750019E1,-4.370625305E1,-9.581250191E0,4.687949523E1
2.307472082E0,-1.404375076E1,-4.376250076E1,-9.112500191E0,4.685532060E1
2.317472082E0,-1.430625057E1,-4.404375076E1,-8.887500763E0,4.715409268E1
2.327472082E0,-1.438125038E1,-4.413750076E1,-8.531250000E0,4.719874535E1
2.337472082E0,-1.421250057E1,-4.451250076E1,-7.500000477E0,4.732449581E1
2.347472082E0,-1.391250038E1,-4.492500305E1,-6.637500286E0,4.749599958E1
2.357472082E0,-1.385625076E1,-4.522500229E1,-6.187500477E0,4.770305734E1
2.367472082E0,-1.385625076E1,-4.541250229E1,-5.343750000E0,4.777914517E1
2.377472082E0,-1.436250019E1,-4.636875153E1,-4.012500286E0,4.870772719E1
2.387472082E0,-1.426875019E1,-4.683750153E1,-3.262500048E0,4.907130208E1
2.397472082E0,-1.426875019E1,-4.728750229E1,-2.643750191E0,4.946407302E1
2.407472082E0,-1.411875057E1,-4.792500305E1,-1.612500072E0,4.998745034E1
2.417472082E0,-1.438125038E1,-4.803750229E1,-1.687500119E0,5.017239924E1
2.427472082E0,-1.451250076E1,-4.794375229E1,-1.631250024E0,5.011862966E1
2.437472082E0,-1.464375019E1,-4.803750229E1,-1.593750119E0,5.024520958E1
2.447472082E0,-1.477500057E1,-4.824375153E1,-1.650000095E0,5.048249898E1
2.457472082E0,-1.423125076E1,-4.762500000E1,-2.287500143E0,4.975843426E1
2.467472082E0,-1.425000095E1,-4.721250153E1,-3.018750191E0,4.940845758E1
2.477472082E0,-1.406250095E1,-4.674375153E1,-3.618750095E0,4.894719187E1
2.487472082E0,-1.423125076E1,-4.605000305E1,-4.856250286E0,4.844289882E1
2.497472082E0,-1.419375038E1,-4.563750076E1,-5.362500191E0,4.809366314E1
2.507472082E0,-1.398750019E1,-4.550625229E1,-5.850000381E0,4.796552578E1
2.517472082E0,-1.411875057E1,-4.530000305E1,-6.318750381E0,4.786811048E1
2.527472082E0,-1.415625095E1,-4.494375229E1,-6.918750286E0,4.762572221E1
2.537472082E0,-1.415625095E1,-4.473750305E1,-7.350000381E0,4.749595905E1
2.547472082E0,-1.417500019E1,-4.475625229E1,-7.537500381E0,4.754857160E1
2.557472082E0,-1.417500019E1,-4.462500000E1,-7.556250095E0,4.742803149E1
2.567472082E0,-1.441875076E1,-4.496250153E1,-7.331250191E0,4.778361797E1
